Opportunity Name,Qualification Set Date,Qualification Scheduled Date,Industry,Amount,Stage,Fiscal Period,Created Date,SDR Owner,Assigned Account Executive,SAO Points Calculation,Meeting Held Date
Driftwood Mechanical - SDR Set 157,2026-03-15,2026-03-25,Plumbing Contractor,96000,Closed Won,Q1 2026,2026-03-15,Avery Greene,Harper Lin,1,2026-03-25
Granite Industrial Services - SDR Set 158,2025-12-17,2025-12-22,General Contractor,65000,Discovery,Q4 2025,2025-12-17,Avery Greene,Tomás Reyes,1,2025-12-22
Pinewood Construction Services - SDR Set 159,2025-12-20,2026-01-03,HVAC Contractor,24000,Qualification,Q4 2025,2025-12-20,Mira Schultz,Lauren Park,0,2026-01-03
Cascade Mechanical - SDR Set 160,2025-12-16,2025-12-26,General Contractor,56000,Discovery,Q4 2025,2025-12-16,Mira Schultz,Eddie Coleman,1,2025-12-26
Steeplechase Electric - SDR Set 161,2026-04-26,2026-05-05,Specialty Trades,70000,Qualification,Q2 2026,2026-04-26,Avery Greene,Jamal Whitfield,0,2026-05-05
Crescent HVAC Co - SDR Set 162,2026-04-27,2026-05-01,Industrial Services,57000,Discovery,Q2 2026,2026-04-27,Mira Schultz,Jamal Whitfield,1,2026-05-01
Tannery Plumbing Co - SDR Set 163,2026-01-30,2026-02-12,General Contractor,42000,Qualification,Q1 2026,2026-01-30,Wes Kim,Harper Lin,1,2026-02-12
Highline HVAC - SDR Set 164,2025-10-16,2025-10-28,HVAC Contractor,76000,Qualification,Q4 2025,2025-10-16,Wes Kim,Harper Lin,0,2025-10-28
Lakefront Mechanical - SDR Set 165,2025-10-16,2025-10-26,HVAC Contractor,19000,Discovery,Q4 2025,2025-10-16,Avery Greene,Jamal Whitfield,0,2025-10-26
Beacon Industrial - SDR Set 166,2026-04-14,2026-04-21,Electrical Contractor,35000,Evaluation,Q2 2026,2026-04-14,Wes Kim,Lauren Park,0,2026-04-21
Steeplechase Electric - SDR Set 167,2026-05-16,2026-05-20,General Contractor,70000,Closed Won,Q2 2026,2026-05-16,Wes Kim,Vikram Patel,0,2026-05-20
Cascade Mechanical - SDR Set 168,2025-11-24,2025-11-29,General Contractor,83000,Closed Won,Q4 2025,2025-11-24,Wes Kim,Eddie Coleman,1,2025-11-29
Sentinel HVAC - SDR Set 169,2026-01-26,2026-01-29,Electrical Contractor,33000,Discovery,Q1 2026,2026-01-26,Avery Greene,Lauren Park,1,2026-01-29
Lakefront Mechanical - SDR Set 170,2026-04-16,2026-04-23,Plumbing Contractor,77000,Evaluation,Q2 2026,2026-04-16,Wes Kim,Eddie Coleman,0,2026-04-23
Western Ridge Electrical - SDR Set 171,2025-11-29,2025-12-12,Mechanical Contractor,68000,Closed Lost,Q4 2025,2025-11-29,Wes Kim,Tomás Reyes,0,2025-12-12
Brookline Trades - SDR Set 172,2025-12-25,2026-01-05,Sheet Metal Contractor,50000,Evaluation,Q4 2025,2025-12-25,Wes Kim,Vikram Patel,1,2026-01-05
Beacon Industrial - SDR Set 173,2026-01-01,2026-01-08,Specialty Trades,32000,Evaluation,Q1 2026,2026-01-01,Wes Kim,Jamal Whitfield,0,2026-01-08
Brookline Trades - SDR Set 174,2025-10-13,2025-10-17,Plumbing Contractor,69000,Discovery,Q4 2025,2025-10-13,Avery Greene,Harper Lin,1,2025-10-17
Driftwood Mechanical - SDR Set 175,2025-11-14,2025-11-24,HVAC Contractor,57000,Closed Won,Q4 2025,2025-11-14,Avery Greene,Eddie Coleman,1,2025-11-24
Summit Electric Inc - SDR Set 176,2026-05-17,2026-05-20,Industrial Services,84000,Qualification,Q2 2026,2026-05-17,Wes Kim,Tomás Reyes,0,2026-05-20
Driftwood Mechanical - SDR Set 177,2026-05-03,2026-05-17,Plumbing Contractor,20000,Discovery,Q2 2026,2026-05-03,Wes Kim,Lauren Park,1,2026-05-17
Steeplechase Electric - SDR Set 178,2026-04-20,2026-04-28,Plumbing Contractor,19000,Discovery,Q2 2026,2026-04-20,Mira Schultz,Jamal Whitfield,0,2026-04-28
Crescent HVAC Co - SDR Set 179,2025-12-11,2025-12-19,Industrial Services,19000,Discovery,Q4 2025,2025-12-11,Avery Greene,Caroline Mead,1,2025-12-19
Ironclad Electric - SDR Set 180,2025-12-10,2025-12-22,Electrical Contractor,39000,Qualification,Q4 2025,2025-12-10,Avery Greene,Jamal Whitfield,0,2025-12-22
Riverbend Plumbing - SDR Set 181,2026-01-04,2026-01-09,General Contractor,64000,Qualification,Q1 2026,2026-01-04,Mira Schultz,Tomás Reyes,0,2026-01-09
Whitestone Electric - SDR Set 182,2025-11-07,2025-11-19,Sheet Metal Contractor,26000,Discovery,Q4 2025,2025-11-07,Mira Schultz,Tomás Reyes,0,2025-11-19
Granite Industrial Services - SDR Set 183,2025-11-12,2025-11-25,Plumbing Contractor,92000,Discovery,Q4 2025,2025-11-12,Mira Schultz,Tomás Reyes,1,2025-11-25
Briarcliff Trades - SDR Set 184,2025-12-08,2025-12-11,General Contractor,88000,Discovery,Q4 2025,2025-12-08,Avery Greene,Eddie Coleman,1,2025-12-11
Ironclad Electric - SDR Set 185,2025-11-11,2025-11-21,Electrical Contractor,72000,Evaluation,Q4 2025,2025-11-11,Avery Greene,Jamal Whitfield,1,2025-11-21
Ironclad Electric - SDR Set 186,2025-11-18,2025-11-24,General Contractor,28000,Discovery,Q4 2025,2025-11-18,Mira Schultz,Jamal Whitfield,1,2025-11-24
Compass Sheet Metal - SDR Set 187,2025-12-29,2026-01-11,HVAC Contractor,15000,Closed Won,Q4 2025,2025-12-29,Avery Greene,Harper Lin,0,2026-01-11
Steeplechase Electric - SDR Set 188,2026-05-26,2026-06-06,Specialty Trades,78000,Closed Won,Q2 2026,2026-05-26,Avery Greene,Caroline Mead,1,2026-06-06
Northwall Builders - SDR Set 189,2026-02-15,2026-02-18,Industrial Services,51000,Closed Won,Q1 2026,2026-02-15,Wes Kim,Harper Lin,1,2026-02-18
Cornerstone Mechanical - SDR Set 190,2025-12-11,2025-12-21,Specialty Trades,45000,Discovery,Q4 2025,2025-12-11,Mira Schultz,Vikram Patel,1,2025-12-21
Whitestone Electric - SDR Set 191,2026-06-03,2026-06-08,Industrial Services,70000,Evaluation,Q2 2026,2026-06-03,Avery Greene,Tomás Reyes,0,2026-06-08
Briarcliff Trades - SDR Set 192,2026-01-02,2026-01-07,Specialty Trades,21000,Qualification,Q1 2026,2026-01-02,Wes Kim,Eddie Coleman,0,2026-01-07
Compass Sheet Metal - SDR Set 193,2026-03-17,2026-03-30,HVAC Contractor,69000,Discovery,Q1 2026,2026-03-17,Avery Greene,Caroline Mead,0,2026-03-30
Steeplechase Electric - SDR Set 194,2026-02-10,2026-02-19,Industrial Services,33000,Qualification,Q1 2026,2026-02-10,Avery Greene,Vikram Patel,0,2026-02-19
Compass Sheet Metal - SDR Set 195,2026-01-02,2026-01-07,Mechanical Contractor,90000,Discovery,Q1 2026,2026-01-02,Mira Schultz,Tomás Reyes,0,2026-01-07
Compass Sheet Metal - SDR Set 196,2026-04-19,2026-04-25,Plumbing Contractor,73000,Evaluation,Q2 2026,2026-04-19,Wes Kim,Vikram Patel,0,2026-04-25
Driftwood Mechanical - SDR Set 197,2025-10-17,2025-10-23,Specialty Trades,74000,Qualification,Q4 2025,2025-10-17,Avery Greene,Jamal Whitfield,1,2025-10-23
Briarcliff Trades - SDR Set 198,2026-01-17,2026-01-20,Sheet Metal Contractor,37000,Closed Won,Q1 2026,2026-01-17,Wes Kim,Harper Lin,1,2026-01-20
Beacon Industrial - SDR Set 199,2026-04-07,2026-04-15,Plumbing Contractor,66000,Evaluation,Q2 2026,2026-04-07,Mira Schultz,Lauren Park,0,2026-04-15
Anchor Plumbing - SDR Set 200,2025-10-25,2025-10-29,Industrial Services,40000,Discovery,Q4 2025,2025-10-25,Avery Greene,Vikram Patel,0,2025-10-29
Crescent HVAC Co - SDR Set 201,2026-03-30,2026-04-08,Mechanical Contractor,66000,Evaluation,Q1 2026,2026-03-30,Mira Schultz,Jamal Whitfield,1,2026-04-08
Lakefront Mechanical - SDR Set 202,2026-04-23,2026-05-07,Specialty Trades,79000,Qualification,Q2 2026,2026-04-23,Mira Schultz,Caroline Mead,0,2026-05-07
Brookline Trades - SDR Set 203,2025-10-06,2025-10-14,Industrial Services,96000,Discovery,Q4 2025,2025-10-06,Mira Schultz,Tomás Reyes,0,2025-10-14
Brookline Trades - SDR Set 204,2025-12-06,2025-12-15,Electrical Contractor,74000,Evaluation,Q4 2025,2025-12-06,Avery Greene,Lauren Park,1,2025-12-15
Atlas Sheet Metal - SDR Set 205,2025-12-07,2025-12-19,Mechanical Contractor,25000,Discovery,Q4 2025,2025-12-07,Mira Schultz,Jamal Whitfield,0,2025-12-19
Riverbend Plumbing - SDR Set 206,2026-06-11,2026-06-21,Electrical Contractor,56000,Discovery,Q2 2026,2026-06-11,Avery Greene,Lauren Park,1,2026-06-21
Granite Industrial Services - SDR Set 207,2026-05-16,2026-05-27,Plumbing Contractor,89000,Evaluation,Q2 2026,2026-05-16,Wes Kim,Tomás Reyes,1,2026-05-27
Brookline Trades - SDR Set 208,2026-01-25,2026-02-05,Industrial Services,22000,Evaluation,Q1 2026,2026-01-25,Mira Schultz,Eddie Coleman,1,2026-02-05
Granite Industrial Services - SDR Set 209,2025-11-10,2025-11-19,Industrial Services,92000,Closed Lost,Q4 2025,2025-11-10,Wes Kim,Vikram Patel,0,2025-11-19
Summit Electric Inc - SDR Set 210,2026-01-09,2026-01-12,Mechanical Contractor,67000,Discovery,Q1 2026,2026-01-09,Avery Greene,Tomás Reyes,0,2026-01-12
Anchor Plumbing - SDR Set 211,2025-12-23,2025-12-31,Electrical Contractor,69000,Evaluation,Q4 2025,2025-12-23,Avery Greene,Lauren Park,1,2025-12-31
Cascade Mechanical - SDR Set 212,2026-01-28,2026-02-04,Electrical Contractor,96000,Evaluation,Q1 2026,2026-01-28,Avery Greene,Jamal Whitfield,0,2026-02-04
Heritage Mechanical - SDR Set 213,2026-05-08,2026-05-17,General Contractor,76000,Qualification,Q2 2026,2026-05-08,Mira Schultz,Harper Lin,1,2026-05-17
Summit Electric Inc - SDR Set 214,2025-12-19,2025-12-23,Industrial Services,49000,Discovery,Q4 2025,2025-12-19,Mira Schultz,Caroline Mead,0,2025-12-23
Steeplechase Electric - SDR Set 215,2026-02-09,2026-02-13,Specialty Trades,52000,Closed Won,Q1 2026,2026-02-09,Mira Schultz,Lauren Park,1,2026-02-13
Riverbend Plumbing - SDR Set 216,2026-04-22,2026-05-05,Sheet Metal Contractor,79000,Discovery,Q2 2026,2026-04-22,Avery Greene,Jamal Whitfield,1,2026-05-05
Western Ridge Electrical - SDR Set 217,2025-10-10,2025-10-16,Sheet Metal Contractor,30000,Evaluation,Q4 2025,2025-10-10,Wes Kim,Eddie Coleman,0,2025-10-16
Driftwood Mechanical - SDR Set 218,2026-04-11,2026-04-23,Industrial Services,32000,Qualification,Q2 2026,2026-04-11,Mira Schultz,Lauren Park,0,2026-04-23
Cornerstone Mechanical - SDR Set 219,2025-11-29,2025-12-07,General Contractor,19000,Evaluation,Q4 2025,2025-11-29,Mira Schultz,Vikram Patel,0,2025-12-07
Lakefront Mechanical - SDR Set 220,2026-05-23,2026-05-29,Specialty Trades,61000,Qualification,Q2 2026,2026-05-23,Mira Schultz,Harper Lin,0,2026-05-29
Anchor Plumbing - SDR Set 221,2026-02-12,2026-02-23,HVAC Contractor,97000,Evaluation,Q1 2026,2026-02-12,Avery Greene,Harper Lin,0,2026-02-23
Whitestone Electric - SDR Set 222,2026-03-05,2026-03-09,HVAC Contractor,33000,Qualification,Q1 2026,2026-03-05,Wes Kim,Jamal Whitfield,1,2026-03-09
Summit Electric Inc - SDR Set 223,2026-03-10,2026-03-19,General Contractor,67000,Discovery,Q1 2026,2026-03-10,Avery Greene,Caroline Mead,1,2026-03-19
Heritage Mechanical - SDR Set 224,2025-10-13,2025-10-20,General Contractor,68000,Qualification,Q4 2025,2025-10-13,Wes Kim,Jamal Whitfield,1,2025-10-20
Sentinel HVAC - SDR Set 225,2026-01-05,2026-01-12,Mechanical Contractor,39000,Discovery,Q1 2026,2026-01-05,Wes Kim,Lauren Park,0,2026-01-12
Tannery Plumbing Co - SDR Set 226,2026-03-09,2026-03-17,HVAC Contractor,25000,Discovery,Q1 2026,2026-03-09,Avery Greene,Harper Lin,0,2026-03-17
Cobalt Plumbing Group - SDR Set 227,2025-10-20,2025-10-25,Electrical Contractor,56000,Discovery,Q4 2025,2025-10-20,Wes Kim,Harper Lin,1,2025-10-25
Anchor Plumbing - SDR Set 228,2025-11-14,2025-11-20,HVAC Contractor,89000,Discovery,Q4 2025,2025-11-14,Wes Kim,Vikram Patel,0,2025-11-20
Riverbend Plumbing - SDR Set 229,2025-12-31,2026-01-09,Electrical Contractor,85000,Closed Won,Q4 2025,2025-12-31,Wes Kim,Harper Lin,0,2026-01-09
Cornerstone Mechanical - SDR Set 230,2025-11-19,2025-11-25,HVAC Contractor,69000,Qualification,Q4 2025,2025-11-19,Avery Greene,Harper Lin,0,2025-11-25
Summit Electric Inc - SDR Set 231,2026-03-30,2026-04-02,Electrical Contractor,59000,Evaluation,Q1 2026,2026-03-30,Mira Schultz,Tomás Reyes,1,2026-04-02
Summit Electric Inc - SDR Set 232,2026-02-11,2026-02-14,HVAC Contractor,54000,Qualification,Q1 2026,2026-02-11,Avery Greene,Lauren Park,0,2026-02-14
Highline HVAC - SDR Set 233,2026-04-10,2026-04-21,Specialty Trades,84000,Evaluation,Q2 2026,2026-04-10,Avery Greene,Harper Lin,1,2026-04-21
Tannery Plumbing Co - SDR Set 234,2026-01-13,2026-01-20,Industrial Services,61000,Evaluation,Q1 2026,2026-01-13,Mira Schultz,Harper Lin,1,2026-01-20
Compass Sheet Metal - SDR Set 235,2025-10-12,2025-10-17,General Contractor,45000,Closed Lost,Q4 2025,2025-10-12,Mira Schultz,Harper Lin,1,2025-10-17
Briarcliff Trades - SDR Set 236,2026-03-18,2026-03-31,General Contractor,65000,Qualification,Q1 2026,2026-03-18,Mira Schultz,Vikram Patel,0,2026-03-31
Pinewood Construction Services - SDR Set 237,2026-03-22,2026-04-03,General Contractor,56000,Evaluation,Q1 2026,2026-03-22,Avery Greene,Tomás Reyes,1,2026-04-03
Highline HVAC - SDR Set 238,2026-02-13,2026-02-18,Industrial Services,59000,Discovery,Q1 2026,2026-02-13,Mira Schultz,Tomás Reyes,1,2026-02-18
Driftwood Mechanical - SDR Set 239,2025-12-15,2025-12-21,General Contractor,29000,Discovery,Q4 2025,2025-12-15,Wes Kim,Lauren Park,1,2025-12-21
Riverbend Plumbing - SDR Set 240,2026-02-16,2026-03-01,HVAC Contractor,100000,Evaluation,Q1 2026,2026-02-16,Mira Schultz,Jamal Whitfield,1,2026-03-01
Magnolia Builders - SDR Set 241,2026-02-22,2026-03-04,Mechanical Contractor,93000,Discovery,Q1 2026,2026-02-22,Wes Kim,Eddie Coleman,1,2026-03-04
Cascade Mechanical - SDR Set 242,2025-11-28,2025-12-07,Specialty Trades,89000,Discovery,Q4 2025,2025-11-28,Wes Kim,Lauren Park,1,2025-12-07
Compass Sheet Metal - SDR Set 243,2026-03-29,2026-04-01,General Contractor,97000,Evaluation,Q1 2026,2026-03-29,Wes Kim,Vikram Patel,1,2026-04-01
Anchor Plumbing - SDR Set 244,2026-04-25,2026-04-29,Mechanical Contractor,69000,Qualification,Q2 2026,2026-04-25,Mira Schultz,Tomás Reyes,0,2026-04-29
Whitestone Electric - SDR Set 245,2025-12-23,2026-01-06,Sheet Metal Contractor,17000,Qualification,Q4 2025,2025-12-23,Avery Greene,Jamal Whitfield,1,2026-01-06
Heritage Mechanical - SDR Set 246,2025-11-07,2025-11-20,Specialty Trades,29000,Qualification,Q4 2025,2025-11-07,Mira Schultz,Jamal Whitfield,0,2025-11-20
Cascade Mechanical - SDR Set 247,2025-11-07,2025-11-11,Specialty Trades,42000,Closed Won,Q4 2025,2025-11-07,Wes Kim,Caroline Mead,0,2025-11-11
Ironclad Electric - SDR Set 248,2026-02-15,2026-02-24,General Contractor,55000,Discovery,Q1 2026,2026-02-15,Avery Greene,Harper Lin,1,2026-02-24
Anchor Plumbing - SDR Set 249,2026-04-12,2026-04-15,Plumbing Contractor,31000,Discovery,Q2 2026,2026-04-12,Mira Schultz,Eddie Coleman,0,2026-04-15
Steeplechase Electric - SDR Set 250,2026-03-13,2026-03-25,Electrical Contractor,72000,Discovery,Q1 2026,2026-03-13,Mira Schultz,Harper Lin,0,2026-03-25
Cascade Mechanical - SDR Set 251,2026-04-09,2026-04-12,Plumbing Contractor,17000,Qualification,Q2 2026,2026-04-09,Avery Greene,Caroline Mead,1,2026-04-12
Beacon Industrial - SDR Set 252,2026-05-12,2026-05-24,HVAC Contractor,35000,Discovery,Q2 2026,2026-05-12,Mira Schultz,Lauren Park,0,2026-05-24
Cascade Mechanical - SDR Set 253,2026-03-23,2026-03-29,General Contractor,75000,Qualification,Q1 2026,2026-03-23,Wes Kim,Lauren Park,1,2026-03-29
Crescent HVAC Co - SDR Set 254,2025-12-14,2025-12-26,Mechanical Contractor,71000,Qualification,Q4 2025,2025-12-14,Avery Greene,Harper Lin,1,2025-12-26
Atlas Sheet Metal - SDR Set 255,2026-04-07,2026-04-10,Specialty Trades,21000,Discovery,Q2 2026,2026-04-07,Wes Kim,Lauren Park,1,2026-04-10
Brookline Trades - SDR Set 256,2025-12-01,2025-12-15,General Contractor,35000,Discovery,Q4 2025,2025-12-01,Avery Greene,Tomás Reyes,0,2025-12-15
Steeplechase Electric - SDR Set 257,2025-12-06,2025-12-10,Mechanical Contractor,44000,Discovery,Q4 2025,2025-12-06,Mira Schultz,Lauren Park,1,2025-12-10
Magnolia Builders - SDR Set 258,2026-04-15,2026-04-22,Specialty Trades,18000,Evaluation,Q2 2026,2026-04-15,Wes Kim,Tomás Reyes,1,2026-04-22
Briarcliff Trades - SDR Set 259,2026-02-06,2026-02-17,General Contractor,31000,Discovery,Q1 2026,2026-02-06,Avery Greene,Jamal Whitfield,1,2026-02-17
Crescent HVAC Co - SDR Set 260,2026-05-27,2026-05-30,Industrial Services,34000,Closed Won,Q2 2026,2026-05-27,Avery Greene,Caroline Mead,1,2026-05-30
Crescent HVAC Co - SDR Set 261,2025-10-06,2025-10-12,General Contractor,62000,Discovery,Q4 2025,2025-10-06,Avery Greene,Eddie Coleman,0,2025-10-12
Beacon Industrial - SDR Set 262,2025-12-25,2026-01-06,Specialty Trades,35000,Discovery,Q4 2025,2025-12-25,Wes Kim,Vikram Patel,1,2026-01-06
Cascade Mechanical - SDR Set 263,2025-11-30,2025-12-05,Industrial Services,24000,Discovery,Q4 2025,2025-11-30,Avery Greene,Eddie Coleman,1,2025-12-05
Cascade Mechanical - SDR Set 264,2025-10-09,2025-10-18,Electrical Contractor,87000,Evaluation,Q4 2025,2025-10-09,Wes Kim,Caroline Mead,0,2025-10-18
Highline HVAC - SDR Set 265,2026-02-02,2026-02-09,Mechanical Contractor,79000,Discovery,Q1 2026,2026-02-02,Wes Kim,Eddie Coleman,1,2026-02-09
Magnolia Builders - SDR Set 266,2025-12-13,2025-12-16,Plumbing Contractor,55000,Closed Lost,Q4 2025,2025-12-13,Mira Schultz,Vikram Patel,1,2025-12-16
Foothill Sheet Metal - SDR Set 267,2025-11-15,2025-11-20,HVAC Contractor,97000,Evaluation,Q4 2025,2025-11-15,Mira Schultz,Eddie Coleman,1,2025-11-20
Briarcliff Trades - SDR Set 268,2026-01-13,2026-01-20,Mechanical Contractor,96000,Qualification,Q1 2026,2026-01-13,Mira Schultz,Caroline Mead,1,2026-01-20
Pinewood Construction Services - SDR Set 269,2026-04-26,2026-05-02,Electrical Contractor,80000,Discovery,Q2 2026,2026-04-26,Mira Schultz,Eddie Coleman,1,2026-05-02
Riverbend Plumbing - SDR Set 270,2025-12-27,2026-01-03,Mechanical Contractor,73000,Discovery,Q4 2025,2025-12-27,Wes Kim,Lauren Park,1,2026-01-03
Highline HVAC - SDR Set 271,2025-12-12,2025-12-24,Industrial Services,52000,Qualification,Q4 2025,2025-12-12,Mira Schultz,Lauren Park,1,2025-12-24
Crescent HVAC Co - SDR Set 272,2026-04-21,2026-04-30,HVAC Contractor,85000,Qualification,Q2 2026,2026-04-21,Wes Kim,Lauren Park,0,2026-04-30
Magnolia Builders - SDR Set 273,2026-05-29,2026-06-11,Industrial Services,55000,Evaluation,Q2 2026,2026-05-29,Avery Greene,Harper Lin,1,2026-06-11
Cascade Mechanical - SDR Set 274,2026-03-31,2026-04-05,Industrial Services,61000,Closed Won,Q1 2026,2026-03-31,Wes Kim,Jamal Whitfield,1,2026-04-05
Pinewood Construction Services - SDR Set 275,2026-02-25,2026-03-09,HVAC Contractor,21000,Closed Lost,Q1 2026,2026-02-25,Avery Greene,Lauren Park,1,2026-03-09
Summit Electric Inc - SDR Set 276,2026-03-12,2026-03-23,Plumbing Contractor,25000,Closed Won,Q1 2026,2026-03-12,Wes Kim,Eddie Coleman,0,2026-03-23
Tannery Plumbing Co - SDR Set 277,2026-02-05,2026-02-13,General Contractor,91000,Discovery,Q1 2026,2026-02-05,Wes Kim,Lauren Park,1,2026-02-13
Ironclad Electric - SDR Set 278,2026-03-16,2026-03-30,Industrial Services,74000,Qualification,Q1 2026,2026-03-16,Wes Kim,Caroline Mead,1,2026-03-30
Highline HVAC - SDR Set 279,2025-10-24,2025-10-29,Electrical Contractor,21000,Discovery,Q4 2025,2025-10-24,Mira Schultz,Eddie Coleman,1,2025-10-29
Granite Industrial Services - SDR Set 280,2026-01-25,2026-02-02,HVAC Contractor,18000,Qualification,Q1 2026,2026-01-25,Mira Schultz,Tomás Reyes,1,2026-02-02
Cascade Mechanical - SDR Set 281,2025-11-09,2025-11-12,Electrical Contractor,54000,Qualification,Q4 2025,2025-11-09,Wes Kim,Tomás Reyes,0,2025-11-12
Riverbend Plumbing - SDR Set 282,2026-03-01,2026-03-14,Plumbing Contractor,57000,Qualification,Q1 2026,2026-03-01,Avery Greene,Tomás Reyes,1,2026-03-14
Beacon Industrial - SDR Set 283,2026-06-06,2026-06-11,Specialty Trades,53000,Qualification,Q2 2026,2026-06-06,Wes Kim,Jamal Whitfield,1,2026-06-11
Crescent HVAC Co - SDR Set 284,2026-04-11,2026-04-16,Sheet Metal Contractor,38000,Evaluation,Q2 2026,2026-04-11,Mira Schultz,Eddie Coleman,1,2026-04-16
Ironclad Electric - SDR Set 285,2026-02-20,2026-03-05,Industrial Services,50000,Qualification,Q1 2026,2026-02-20,Wes Kim,Caroline Mead,1,2026-03-05
Highline HVAC - SDR Set 286,2026-05-01,2026-05-10,HVAC Contractor,97000,Discovery,Q2 2026,2026-05-01,Mira Schultz,Caroline Mead,0,2026-05-10
Sentinel HVAC - SDR Set 287,2026-04-02,2026-04-08,Mechanical Contractor,31000,Closed Lost,Q2 2026,2026-04-02,Wes Kim,Harper Lin,0,2026-04-08
Atlas Sheet Metal - SDR Set 288,2026-05-13,2026-05-26,Plumbing Contractor,43000,Qualification,Q2 2026,2026-05-13,Wes Kim,Eddie Coleman,1,2026-05-26
Briarcliff Trades - SDR Set 289,2026-05-10,2026-05-18,Electrical Contractor,53000,Qualification,Q2 2026,2026-05-10,Avery Greene,Lauren Park,1,2026-05-18
Crescent HVAC Co - SDR Set 290,2025-12-16,2025-12-22,General Contractor,60000,Discovery,Q4 2025,2025-12-16,Avery Greene,Lauren Park,1,2025-12-22
Compass Sheet Metal - SDR Set 291,2025-12-28,2026-01-05,Plumbing Contractor,69000,Discovery,Q4 2025,2025-12-28,Wes Kim,Caroline Mead,0,2026-01-05
Driftwood Mechanical - SDR Set 292,2025-10-18,2025-10-27,Electrical Contractor,44000,Qualification,Q4 2025,2025-10-18,Avery Greene,Caroline Mead,0,2025-10-27
Cornerstone Mechanical - SDR Set 293,2025-11-19,2025-12-03,General Contractor,25000,Qualification,Q4 2025,2025-11-19,Avery Greene,Harper Lin,1,2025-12-03
Highline HVAC - SDR Set 294,2026-06-04,2026-06-11,Industrial Services,36000,Qualification,Q2 2026,2026-06-04,Avery Greene,Tomás Reyes,1,2026-06-11
Riverbend Plumbing - SDR Set 295,2025-12-05,2025-12-09,HVAC Contractor,46000,Qualification,Q4 2025,2025-12-05,Mira Schultz,Lauren Park,1,2025-12-09
Atlas Sheet Metal - SDR Set 296,2025-11-12,2025-11-23,Plumbing Contractor,65000,Discovery,Q4 2025,2025-11-12,Avery Greene,Lauren Park,0,2025-11-23
Whitestone Electric - SDR Set 297,2026-06-12,2026-06-18,Specialty Trades,76000,Discovery,Q2 2026,2026-06-12,Avery Greene,Jamal Whitfield,0,2026-06-18
Cobalt Plumbing Group - SDR Set 298,2026-05-08,2026-05-18,HVAC Contractor,20000,Evaluation,Q2 2026,2026-05-08,Avery Greene,Tomás Reyes,1,2026-05-18
Anchor Plumbing - SDR Set 299,2026-02-08,2026-02-21,Mechanical Contractor,75000,Qualification,Q1 2026,2026-02-08,Wes Kim,Jamal Whitfield,0,2026-02-21
Cornerstone Mechanical - SDR Set 300,2025-11-29,2025-12-02,Mechanical Contractor,90000,Evaluation,Q4 2025,2025-11-29,Avery Greene,Lauren Park,1,2025-12-02
Cascade Mechanical - SDR Set 301,2026-05-26,2026-06-08,General Contractor,64000,Closed Won,Q2 2026,2026-05-26,Avery Greene,Vikram Patel,0,2026-06-08
Whitestone Electric - SDR Set 302,2025-10-26,2025-11-06,Sheet Metal Contractor,22000,Discovery,Q4 2025,2025-10-26,Avery Greene,Caroline Mead,1,2025-11-06
Highline HVAC - SDR Set 303,2026-02-27,2026-03-13,HVAC Contractor,61000,Evaluation,Q1 2026,2026-02-27,Wes Kim,Harper Lin,1,2026-03-13
Briarcliff Trades - SDR Set 304,2025-10-12,2025-10-19,HVAC Contractor,96000,Closed Won,Q4 2025,2025-10-12,Mira Schultz,Tomás Reyes,0,2025-10-19
Magnolia Builders - SDR Set 305,2026-04-08,2026-04-20,Plumbing Contractor,18000,Qualification,Q2 2026,2026-04-08,Mira Schultz,Jamal Whitfield,1,2026-04-20
Cornerstone Mechanical - SDR Set 306,2026-02-11,2026-02-16,Electrical Contractor,52000,Discovery,Q1 2026,2026-02-11,Wes Kim,Lauren Park,1,2026-02-16
Atlas Sheet Metal - SDR Set 307,2026-03-09,2026-03-19,Sheet Metal Contractor,57000,Qualification,Q1 2026,2026-03-09,Wes Kim,Vikram Patel,1,2026-03-19
Granite Industrial Services - SDR Set 308,2025-10-08,2025-10-16,General Contractor,69000,Discovery,Q4 2025,2025-10-08,Wes Kim,Caroline Mead,1,2025-10-16
Magnolia Builders - SDR Set 309,2026-03-09,2026-03-18,Electrical Contractor,50000,Qualification,Q1 2026,2026-03-09,Wes Kim,Lauren Park,0,2026-03-18
Cornerstone Mechanical - SDR Set 310,2025-12-27,2026-01-04,Industrial Services,96000,Discovery,Q4 2025,2025-12-27,Avery Greene,Lauren Park,0,2026-01-04
Beacon Industrial - SDR Set 311,2025-10-17,2025-10-29,Specialty Trades,43000,Evaluation,Q4 2025,2025-10-17,Wes Kim,Harper Lin,0,2025-10-29
Cornerstone Mechanical - SDR Set 312,2026-03-17,2026-03-29,Mechanical Contractor,60000,Discovery,Q1 2026,2026-03-17,Wes Kim,Lauren Park,1,2026-03-29
Summit Electric Inc - SDR Set 313,2026-04-09,2026-04-17,General Contractor,84000,Qualification,Q2 2026,2026-04-09,Mira Schultz,Caroline Mead,1,2026-04-17
Anchor Plumbing - SDR Set 314,2026-02-21,2026-02-25,Electrical Contractor,45000,Qualification,Q1 2026,2026-02-21,Avery Greene,Jamal Whitfield,1,2026-02-25
