Opportunity Name,Opportunity Owner,Account Name,SDR Owner,Opportunity Source,Amount,Created Date,Discovery Date,Evaluation Date,Negotiation Date,Close Date,Stage Duration,Last Stage Change Date,Annual Revenue,Opportunity Owner: Manager,Opp Set Type,Stage,Account Segment,Recurring ARR,Primary Contact: P Level,Industry,First NB Opp?,Account: Last Activity,Last Activity,Discount Amount,Discount Percentage,Recurring Discount Percentage,Opportunity BPS,Type,Opportunity Record Type,Opportunity ID (18 Char),Probability (%),Contract Term (Month),Payment Terms,Invoice Frequency
Granite Industrial Services - CL 69,Harper Lin,Granite Industrial Services,Wes Kim,6s Intent Signals,82000,2025-05-27,2025-05-29,2025-06-15,2025-07-20,2026-01-21,17,2025-06-01,107006710,Patrick Yu,6s,Closed Lost,ENT,69600,Manager,Plumbing Contractor,false,2026-04-22,2026-05-07,31980,39%,39%,6.5,New Business,New Business,006DEMO00000000068,0,12,Net 30,Semi-Annually
Compass Sheet Metal - NB 70,Caroline Mead,Compass Sheet Metal,,Event,222000,2026-05-28,2026-05-31,2026-06-19,2026-07-21,2026-08-27,59,2026-06-13,205654352,Patrick Yu,Event,Evaluation,ENT,174800,Director,General Contractor,true,2026-05-14,2026-05-02,0,0%,0%,8.5,New Business,New Business,006DEMO00000000069,50,12,Net 30,Quarterly
Lakefront Mechanical - CL 71,Vikram Patel,Lakefront Mechanical,Wes Kim,Outbound,175000,2025-07-30,2025-08-04,2025-08-28,2025-09-21,2025-10-12,10,2025-08-17,335630401,Patrick Yu,SDR Set - Outbound,Closed Lost,ENT,150700,Manager,Mechanical Contractor,false,2026-05-11,2026-05-09,0,0%,0%,4.49,New Business,New Business,006DEMO00000000070,0,12,Net 30,Monthly
Magnolia Builders - NB 72,Caroline Mead,Magnolia Builders,Wes Kim,Outbound,184000,2026-04-07,2026-04-11,2026-05-03,2026-05-26,2026-06-22,34,2026-04-20,152621924,Patrick Yu,SDR Set - Outbound,Qualification,ENT,160500,,Industrial Services,false,2026-05-13,2026-05-06,0,0%,0%,10.52,New Business,New Business,006DEMO00000000071,10,12,Net 30,Annual
Brookline Trades - NB 73,Caroline Mead,Brookline Trades,,Event,200000,2025-12-13,2025-12-17,2026-01-07,2026-02-10,2026-08-23,5,2025-12-19,214861769,Patrick Yu,Event,Qualification,ENT,171700,VP,Industrial Services,true,2026-05-05,2026-05-10,0,0%,0%,7.99,New Business,New Business,006DEMO00000000072,10,12,Net 30,Quarterly
Highline HVAC - CL 74,Eddie Coleman,Highline HVAC,,Inbound,34000,2025-03-12,2025-03-16,2025-04-10,2025-05-02,2025-10-20,12,2025-03-22,48346790,Kevin Brand,AE Set - Inbound,Closed Lost,MM,29300,VP,Mechanical Contractor,false,2026-04-28,2026-05-02,0,0%,0%,6.06,New Business,New Business,006DEMO00000000073,0,12,Net 30,Monthly
Magnolia Builders - NB 75,Tomás Reyes,Magnolia Builders,,Inbound,35000,2026-03-30,2026-04-01,2026-04-23,2026-06-06,2026-05-30,3,2026-04-05,21062823,Kevin Brand,AE Set - Inbound,Discovery,MM,27500,,Industrial Services,false,2026-05-07,2026-05-03,4200,12%,12%,13.06,New Business,New Business,006DEMO00000000074,25,12,Net 30,Annual
Highline HVAC - NB 76,Harper Lin,Highline HVAC,,Partner,207000,2026-06-02,2026-06-06,2026-06-27,2026-08-17,2026-06-06,18,2026-06-12,258855726,Patrick Yu,Partner,Evaluation,ENT,175200,Director,Specialty Trades,true,2026-05-04,2026-05-06,0,0%,0%,6.77,New Business,New Business,006DEMO00000000075,50,12,Net 30,Annual
Sentinel HVAC - CL 77,Caroline Mead,Sentinel HVAC,,Partner,100000,2025-04-23,2025-04-24,2025-05-10,2025-07-20,2025-09-05,14,2025-05-04,272796715,Patrick Yu,Partner,Closed Lost,ENT,82500,,HVAC Contractor,false,2026-05-06,2026-05-10,0,0%,0%,3.02,New Business,New Business,006DEMO00000000076,0,12,Net 30,Monthly
Magnolia Builders - CL 78,Harper Lin,Magnolia Builders,,Event,99000,2025-04-23,2025-04-28,2025-05-24,2025-07-16,2025-09-09,16,2025-05-09,192498387,Patrick Yu,Event,Closed Lost,ENT,77200,VP,Industrial Services,false,2026-04-29,2026-05-07,14850,15%,15%,4.01,New Business,New Business,006DEMO00000000077,0,12,Net 30,Semi-Annually
Pinewood Construction Services - NB 79,Harper Lin,Pinewood Construction Services,,Event,165000,2026-02-09,2026-02-10,2026-03-12,2026-04-14,2026-06-12,34,2026-02-18,231994037,Patrick Yu,Event,Discovery,ENT,153000,,Specialty Trades,true,2026-04-23,2026-05-09,0,0%,0%,6.59,New Business,New Business,006DEMO00000000078,25,12,Net 30,Annual
Cascade Mechanical - CL 80,Tomás Reyes,Cascade Mechanical,,Inbound,17000,2025-02-03,2025-02-08,2025-02-23,2025-04-26,2025-07-20,44,2025-02-13,33639348,Kevin Brand,AE Set - Inbound,Closed Lost,MM,15500,,Industrial Services,false,2026-04-25,2026-05-08,0,0%,0%,4.61,New Business,New Business,006DEMO00000000079,0,12,Net 30,Quarterly
Heritage Mechanical - CL 81,Lauren Park,Heritage Mechanical,Wes Kim,6s Intent Signals,70000,2025-07-12,2025-07-16,2025-08-12,2025-09-23,2025-10-12,22,2025-07-26,66203479,Kevin Brand,6s,Closed Lost,MM,53800,Director,Sheet Metal Contractor,false,2026-04-25,2026-05-13,27300,39%,39%,8.13,New Business,New Business,006DEMO00000000080,0,12,Net 30,Quarterly
Cornerstone Mechanical - CL 82,Harper Lin,Cornerstone Mechanical,,Outbound,208000,2025-08-16,2025-08-17,2025-09-16,2025-10-04,2025-11-05,19,2025-08-23,271446905,Patrick Yu,AE - Self Set,Closed Lost,ENT,175700,VP,Plumbing Contractor,true,2026-04-16,2026-05-06,0,0%,0%,6.47,New Business,New Business,006DEMO00000000081,0,12,Net 30,Annual
Heritage Mechanical - NB 83,Harper Lin,Heritage Mechanical,Wes Kim,Outbound,214000,2026-05-18,2026-05-20,2026-06-11,2026-07-26,2026-06-15,31,2026-05-21,247703903,Patrick Yu,SDR Set - Outbound,Contracts/Negotiation,ENT,188400,,Industrial Services,false,2026-05-03,2026-05-03,0,0%,0%,7.61,New Business,New Business,006DEMO00000000082,75,12,Net 30,Semi-Annually
Whitestone Electric - CL 84,Caroline Mead,Whitestone Electric,Wes Kim,6s Intent Signals,116000,2025-02-10,2025-02-11,2025-03-06,2025-04-09,2025-09-03,47,2025-02-16,209527376,Patrick Yu,6s,Closed Lost,ENT,90000,Manager,General Contractor,false,2026-05-09,2026-05-02,25520,22%,22%,4.3,New Business,New Business,006DEMO00000000083,0,12,Net 30,Annual
Riverbend Plumbing - CL 85,Jamal Whitfield,Riverbend Plumbing,Avery Greene,6s Intent Signals,73000,2025-04-01,2025-04-03,2025-04-20,2025-05-20,2025-07-18,34,2025-04-12,44529427,Kevin Brand,6s,Closed Lost,MM,68400,Manager,Industrial Services,true,2026-05-01,2026-05-09,24090,33%,33%,15.36,New Business,New Business,006DEMO00000000084,0,12,Net 30,Semi-Annually
Western Ridge Electrical - CW 86,Vikram Patel,Western Ridge Electrical,,Inbound,81000,2025-08-15,2025-08-20,2025-09-03,2025-10-08,2025-10-26,4,2025-08-26,242512017,Patrick Yu,AE Set - Inbound,Closed Won,ENT,71000,Manager,Mechanical Contractor,false,2026-05-02,2026-05-03,0,0%,0%,2.93,New Business,New Business,006DEMO00000000085,100,12,Net 30,Semi-Annually
Magnolia Builders - NB 87,Vikram Patel,Magnolia Builders,,Inbound,45000,2026-04-18,2026-04-19,2026-05-17,2026-06-06,2026-06-13,28,2026-05-01,228053185,Patrick Yu,AE Set - Inbound,Final Approvals,ENT,37300,,Mechanical Contractor,false,2026-04-23,2026-05-13,17100,38%,38%,1.64,New Business,New Business,006DEMO00000000086,90,12,Net 30,Monthly
Cascade Mechanical - CL 88,Tomás Reyes,Cascade Mechanical,,Inbound,19000,2025-01-17,2025-01-21,2025-02-08,2025-03-14,2025-07-28,54,2025-01-24,34783895,Kevin Brand,AE Set - Inbound,Closed Lost,MM,14800,Director,Industrial Services,true,2026-05-04,2026-05-14,0,0%,0%,4.25,New Business,New Business,006DEMO00000000087,0,12,Net 30,Annual
Tannery Plumbing Co - CL 89,Caroline Mead,Tannery Plumbing Co,Wes Kim,Outbound,154000,2025-01-30,2025-02-01,2025-03-02,2025-04-23,2025-03-21,22,2025-02-05,145149828,Patrick Yu,SDR Set - Outbound,Closed Lost,ENT,116800,Director,Specialty Trades,false,2026-05-07,2026-05-10,0,0%,0%,8.05,New Business,New Business,006DEMO00000000088,0,12,Net 30,Annual
Cascade Mechanical - NB 90,Jamal Whitfield,Cascade Mechanical,Wes Kim,6s Intent Signals,21000,2026-04-22,2026-04-23,2026-05-21,2026-06-25,2026-06-07,50,2026-04-28,14665783,Kevin Brand,6s,Qualification,MM,17600,VP,Sheet Metal Contractor,false,2026-04-22,2026-05-04,0,0%,0%,12,New Business,New Business,006DEMO00000000089,10,12,Net 30,Annual
Granite Industrial Services - CL 91,Harper Lin,Granite Industrial Services,,Partner,121000,2025-04-21,2025-04-25,2025-05-21,2025-06-27,2025-12-23,24,2025-05-04,333092288,Patrick Yu,Partner,Closed Lost,ENT,92400,Director,Sheet Metal Contractor,true,2026-05-14,2026-05-06,7260,6%,6%,2.77,New Business,New Business,006DEMO00000000090,0,12,Net 30,Annual
Crescent HVAC Co - CL 92,Tomás Reyes,Crescent HVAC Co,,Inbound,71000,2025-10-16,2025-10-18,2025-11-12,2026-01-07,2026-03-20,42,2025-10-20,42552919,Kevin Brand,AE Set - Inbound,Closed Lost,MM,57900,Manager,Mechanical Contractor,false,2026-04-15,2026-05-05,19170,27%,27%,13.61,New Business,New Business,006DEMO00000000091,0,12,Net 30,Monthly
Whitestone Electric - CW 93,Lauren Park,Whitestone Electric,,Outbound,38000,2025-08-27,2025-08-30,2025-09-17,2025-10-30,2025-12-09,59,2025-09-13,39935011,Kevin Brand,AE - Self Set,Closed Won,MM,31900,C-Level,General Contractor,false,2026-05-03,2026-05-02,0,0%,0%,7.99,New Business,New Business,006DEMO00000000092,100,12,Net 30,Annual
Tannery Plumbing Co - CL 94,Caroline Mead,Tannery Plumbing Co,Mira Schultz,Outbound,155000,2025-08-14,2025-08-17,2025-09-01,2025-10-06,2026-05-09,36,2025-08-30,165331387,Patrick Yu,SDR Set - Outbound,Closed Lost,ENT,147200,Director,Specialty Trades,true,2026-05-06,2026-05-03,10850,7%,7%,8.9,New Business,New Business,006DEMO00000000093,0,12,Net 30,Annual
Sentinel HVAC - NB 95,Lauren Park,Sentinel HVAC,,Event,57000,2026-03-19,2026-03-23,2026-04-09,2026-05-27,2026-07-03,12,2026-04-02,36268418,Kevin Brand,Event,Qualification,MM,52800,Director,General Contractor,false,2026-05-14,2026-05-08,0,0%,0%,14.56,New Business,New Business,006DEMO00000000094,10,12,Net 30,Annual
Ironclad Electric - CL 96,Vikram Patel,Ironclad Electric,Wes Kim,6s Intent Signals,35000,2025-02-15,2025-02-17,2025-03-05,2025-05-10,2025-05-20,25,2025-02-23,337680698,Patrick Yu,6s,Closed Lost,ENT,28600,,HVAC Contractor,false,2026-04-19,2026-05-08,1750,5%,5%,0.85,New Business,New Business,006DEMO00000000095,0,12,Net 30,Annual
Highline HVAC - CW 97,Lauren Park,Highline HVAC,Avery Greene,Outbound,16000,2025-05-19,2025-05-20,2025-06-03,2025-08-16,2025-10-10,39,2025-05-22,48882943,Kevin Brand,SDR Set - Outbound,Closed Won,MM,12300,C-Level,Sheet Metal Contractor,true,2026-05-03,2026-05-07,6080,38%,38%,2.52,New Business,New Business,006DEMO00000000096,100,12,Net 30,Annual
Foothill Sheet Metal - NB 98,Caroline Mead,Foothill Sheet Metal,,Outbound,217000,2026-03-17,2026-03-18,2026-04-06,2026-05-30,2026-08-24,16,2026-03-29,194824707,Patrick Yu,AE - Self Set,Qualification,ENT,170100,,Plumbing Contractor,false,2026-05-14,2026-05-14,0,0%,0%,8.73,New Business,New Business,006DEMO00000000097,10,12,Net 30,Monthly
Riverbend Plumbing - NB 99,Caroline Mead,Riverbend Plumbing,Wes Kim,6s Intent Signals,205000,2026-03-19,2026-03-24,2026-04-18,2026-05-22,2026-08-16,22,2026-04-04,148449407,Patrick Yu,6s,Discovery,ENT,175000,C-Level,Electrical Contractor,false,2026-05-14,2026-05-02,79950,39%,39%,11.79,New Business,New Business,006DEMO00000000098,25,12,Net 30,Quarterly
Heritage Mechanical - NB 100,Lauren Park,Heritage Mechanical,,Inbound,67000,2026-04-17,2026-04-22,2026-05-22,2026-06-26,2026-06-01,50,2026-04-29,38971577,Kevin Brand,AE Set - Inbound,Evaluation,MM,56100,,Electrical Contractor,true,2026-05-05,2026-05-02,0,0%,0%,14.4,New Business,New Business,006DEMO00000000099,50,12,Net 30,Annual
Briarcliff Trades - NB 101,Tomás Reyes,Briarcliff Trades,,Partner,41000,2026-01-12,2026-01-13,2026-02-03,2026-03-20,2026-07-16,52,2026-01-15,43860949,Kevin Brand,Partner,Evaluation,MM,34900,C-Level,HVAC Contractor,false,2026-04-21,2026-05-09,0,0%,0%,7.96,New Business,New Business,006DEMO00000000100,50,12,Net 30,Semi-Annually
Compass Sheet Metal - CL 102,Harper Lin,Compass Sheet Metal,Avery Greene,Outbound,135000,2025-01-28,2025-01-29,2025-02-19,2025-03-31,2025-04-27,41,2025-01-31,312678524,Patrick Yu,SDR Set - Outbound,Closed Lost,ENT,115300,VP,Plumbing Contractor,false,2026-05-14,2026-05-14,0,0%,0%,3.69,New Business,New Business,006DEMO00000000101,0,12,Net 30,Annual
Steeplechase Electric - CL 103,Tomás Reyes,Steeplechase Electric,Wes Kim,6s Intent Signals,28000,2025-02-01,2025-02-06,2025-02-22,2025-04-14,2025-05-08,48,2025-02-15,68965992,Kevin Brand,6s,Closed Lost,MM,24700,,General Contractor,true,2026-04-21,2026-05-09,9520,34%,34%,3.58,New Business,New Business,006DEMO00000000102,0,12,Net 30,Semi-Annually
Beacon Industrial - NB 104,Jamal Whitfield,Beacon Industrial,Mira Schultz,Outbound,41000,2026-03-23,2026-03-25,2026-04-15,2026-05-13,2026-06-17,12,2026-04-07,25111273,Kevin Brand,SDR Set - Outbound,Discovery,MM,33000,Manager,Industrial Services,false,2026-05-04,2026-05-14,0,0%,0%,13.14,New Business,New Business,006DEMO00000000103,25,12,Net 30,Annual
Heritage Mechanical - CL 105,Caroline Mead,Heritage Mechanical,,Inbound,65000,2025-05-04,2025-05-05,2025-06-03,2025-06-27,2025-09-06,9,2025-05-18,300873354,Patrick Yu,AE Set - Inbound,Closed Lost,ENT,51900,VP,General Contractor,false,2026-05-04,2026-05-11,0,0%,0%,1.72,New Business,New Business,006DEMO00000000104,0,12,Net 30,Annual
Heritage Mechanical - CL 106,Harper Lin,Heritage Mechanical,Mira Schultz,Outbound,61000,2025-02-19,2025-02-20,2025-03-19,2025-04-08,2025-06-13,20,2025-03-01,335705319,Patrick Yu,SDR Set - Outbound,Closed Lost,ENT,48100,C-Level,Plumbing Contractor,true,2026-05-14,2026-05-05,0,0%,0%,1.43,New Business,New Business,006DEMO00000000105,0,12,Net 30,Annual
Northwall Builders - NB 107,Harper Lin,Northwall Builders,Avery Greene,Outbound,244000,2026-04-10,2026-04-13,2026-05-12,2026-06-01,2026-07-21,42,2026-04-14,115112420,Patrick Yu,SDR Set - Outbound,Evaluation,ENT,186300,Director,Specialty Trades,false,2026-04-16,2026-05-14,41480,17%,17%,16.18,New Business,New Business,006DEMO00000000106,50,12,Net 30,Quarterly
Summit Electric Inc - CW 108,Vikram Patel,Summit Electric Inc,,Outbound,220000,2025-03-09,2025-03-11,2025-04-07,2025-04-27,2025-06-09,16,2025-03-15,169921099,Patrick Yu,AE - Self Set,Closed Won,ENT,197800,Manager,General Contractor,false,2026-05-04,2026-05-07,0,0%,0%,11.64,New Business,New Business,006DEMO00000000107,100,12,Net 30,Annual
Atlas Sheet Metal - CL 109,Caroline Mead,Atlas Sheet Metal,Wes Kim,6s Intent Signals,78000,2025-03-27,2025-03-30,2025-04-19,2025-06-27,2025-07-04,3,2025-04-10,326360942,Patrick Yu,6s,Closed Lost,ENT,67600,Director,HVAC Contractor,true,2026-04-15,2026-05-09,0,0%,0%,2.07,New Business,New Business,006DEMO00000000108,0,12,Net 30,Monthly
Magnolia Builders - NB 110,Tomás Reyes,Magnolia Builders,,Outbound,76000,2026-04-11,2026-04-16,2026-05-09,2026-06-03,2026-06-18,17,2026-04-29,18318358,Kevin Brand,AE - Self Set,Qualification,MM,63700,VP,Electrical Contractor,false,2026-04-24,2026-05-02,22040,29%,29%,34.77,New Business,New Business,006DEMO00000000109,10,12,Net 30,Annual
Beacon Industrial - CL 111,Jamal Whitfield,Beacon Industrial,,Event,50000,2025-09-18,2025-09-20,2025-10-09,2025-12-18,2025-11-13,41,2025-10-03,22271957,Kevin Brand,Event,Closed Lost,MM,39400,VP,Electrical Contractor,false,2026-05-01,2026-05-02,13000,26%,26%,17.69,New Business,New Business,006DEMO00000000110,0,12,Net 30,Annual
Granite Industrial Services - CL 112,Eddie Coleman,Granite Industrial Services,,Webinar,33000,2025-10-28,2025-11-01,2025-11-29,2026-01-01,2026-05-15,60,2025-11-09,70516262,Kevin Brand,Webinar,Closed Lost,MM,24900,,HVAC Contractor,true,2026-04-28,2026-05-09,0,0%,0%,3.53,New Business,New Business,006DEMO00000000111,0,12,Net 30,Quarterly
Lakefront Mechanical - NB 113,Caroline Mead,Lakefront Mechanical,Mira Schultz,Outbound,118000,2025-12-05,2025-12-06,2025-12-27,2026-02-05,2026-07-26,4,2025-12-11,319414559,Patrick Yu,SDR Set - Outbound,Final Approvals,ENT,110400,VP,General Contractor,false,2026-05-10,2026-05-01,0,0%,0%,3.46,New Business,New Business,006DEMO00000000112,90,12,Net 30,Annual
Pinewood Construction Services - CL 114,Harper Lin,Pinewood Construction Services,,Outbound,161000,2025-07-31,2025-08-02,2025-08-19,2025-10-12,2026-02-18,23,2025-08-04,276667070,Patrick Yu,AE - Self Set,Closed Lost,ENT,123300,VP,Industrial Services,false,2026-04-26,2026-05-10,14490,9%,9%,4.46,New Business,New Business,006DEMO00000000113,0,12,Net 30,Quarterly
Heritage Mechanical - CL 115,Jamal Whitfield,Heritage Mechanical,Avery Greene,6s Intent Signals,49000,2025-06-12,2025-06-14,2025-07-13,2025-09-02,2025-09-26,55,2025-06-17,49742723,Kevin Brand,6s,Closed Lost,MM,38900,Director,Sheet Metal Contractor,true,2026-05-03,2026-05-14,0,0%,0%,7.82,New Business,New Business,006DEMO00000000114,0,12,Net 30,Annual
Cobalt Plumbing Group - CW 116,Caroline Mead,Cobalt Plumbing Group,,Inbound,166000,2025-10-24,2025-10-29,2025-11-21,2025-12-13,2026-04-09,33,2025-11-10,187727969,Patrick Yu,AE Set - Inbound,Closed Won,ENT,134000,Manager,Specialty Trades,false,2026-04-19,2026-05-05,53120,32%,32%,7.14,New Business,New Business,006DEMO00000000115,100,12,Net 30,Monthly
Heritage Mechanical - CL 117,Vikram Patel,Heritage Mechanical,,Inbound,19000,2025-11-01,2025-11-02,2025-11-22,2025-12-21,2026-02-17,55,2025-11-14,119099935,Patrick Yu,AE Set - Inbound,Closed Lost,ENT,15800,VP,Mechanical Contractor,false,2026-05-02,2026-05-03,0,0%,0%,1.33,New Business,New Business,006DEMO00000000116,0,12,Net 30,Annual
Compass Sheet Metal - CL 118,Jamal Whitfield,Compass Sheet Metal,Mira Schultz,6s Intent Signals,32000,2025-03-15,2025-03-19,2025-04-17,2025-05-23,2025-11-13,15,2025-04-01,28433869,Kevin Brand,6s,Closed Lost,MM,28500,Director,Industrial Services,true,2026-04-24,2026-05-13,0,0%,0%,10.02,New Business,New Business,006DEMO00000000117,0,12,Net 30,Annual
Western Ridge Electrical - NB 119,Vikram Patel,Western Ridge Electrical,,Inbound,124000,2026-01-17,2026-01-22,2026-02-10,2026-03-11,2026-07-26,6,2026-01-26,136251181,Patrick Yu,AE Set - Inbound,Qualification,ENT,112300,C-Level,Electrical Contractor,false,2026-04-19,2026-05-09,0,0%,0%,8.24,New Business,New Business,006DEMO00000000118,10,12,Net 30,Annual
Atlas Sheet Metal - CW 120,Harper Lin,Atlas Sheet Metal,Mira Schultz,6s Intent Signals,113000,2025-05-26,2025-05-30,2025-06-13,2025-07-19,2025-11-23,16,2025-06-02,167813071,Patrick Yu,6s,Closed Won,ENT,96800,,Mechanical Contractor,false,2026-04-29,2026-05-06,42940,38%,38%,5.77,New Business,New Business,006DEMO00000000119,100,12,Net 30,Semi-Annually
Summit Electric Inc - NB 121,Caroline Mead,Summit Electric Inc,,Inbound,60000,2026-05-21,2026-05-23,2026-06-15,2026-08-04,2026-07-21,36,2026-05-30,245382656,Patrick Yu,AE Set - Inbound,Discovery,ENT,45200,C-Level,Plumbing Contractor,true,2026-04-29,2026-05-05,0,0%,0%,1.84,New Business,New Business,006DEMO00000000120,25,12,Net 30,Annual
Cobalt Plumbing Group - NB 122,Caroline Mead,Cobalt Plumbing Group,,Inbound,62000,2026-02-16,2026-02-18,2026-03-16,2026-05-02,2026-06-27,36,2026-02-20,258295441,Patrick Yu,AE Set - Inbound,Discovery,ENT,51000,Manager,Electrical Contractor,false,2026-04-29,2026-05-11,11160,18%,18%,1.97,New Business,New Business,006DEMO00000000121,25,12,Net 30,Annual
Driftwood Mechanical - CL 123,Caroline Mead,Driftwood Mechanical,,Event,93000,2025-05-08,2025-05-10,2025-06-06,2025-08-02,2026-01-14,57,2025-05-11,325771713,Patrick Yu,Event,Closed Lost,ENT,76300,C-Level,Electrical Contractor,false,2026-05-12,2026-05-06,0,0%,0%,2.34,New Business,New Business,006DEMO00000000122,0,12,Net 30,Monthly
Western Ridge Electrical - CW 124,Vikram Patel,Western Ridge Electrical,,Inbound,23000,2025-06-17,2025-06-22,2025-07-08,2025-08-30,2025-11-21,24,2025-06-24,138146037,Patrick Yu,AE Set - Inbound,Closed Won,ENT,18300,VP,General Contractor,true,2026-05-10,2026-05-04,0,0%,0%,1.32,New Business,New Business,006DEMO00000000123,100,12,Net 30,Annual
Crescent HVAC Co - CL 125,Harper Lin,Crescent HVAC Co,,Inbound,141000,2025-07-06,2025-07-11,2025-08-06,2025-09-15,2025-11-13,11,2025-07-12,103869365,Patrick Yu,AE Set - Inbound,Closed Lost,ENT,113800,Manager,HVAC Contractor,false,2026-05-13,2026-05-08,0,0%,0%,10.96,New Business,New Business,006DEMO00000000124,0,12,Net 30,Annual
Cascade Mechanical - CL 126,Tomás Reyes,Cascade Mechanical,Mira Schultz,Outbound,63000,2025-09-17,2025-09-18,2025-10-12,2025-12-16,2026-01-13,57,2025-09-28,14732713,Kevin Brand,SDR Set - Outbound,Closed Lost,MM,55900,Manager,Electrical Contractor,false,2026-05-07,2026-05-12,19530,31%,31%,37.94,New Business,New Business,006DEMO00000000125,0,12,Net 30,Quarterly
Atlas Sheet Metal - NB 127,Harper Lin,Atlas Sheet Metal,Mira Schultz,Outbound,112000,2026-01-24,2026-01-27,2026-02-18,2026-03-19,2026-09-03,25,2026-01-30,225893448,Patrick Yu,SDR Set - Outbound,Discovery,ENT,88700,,Specialty Trades,true,2026-05-12,2026-05-11,0,0%,0%,3.93,New Business,New Business,006DEMO00000000126,25,12,Net 30,Semi-Annually
Lakefront Mechanical - NB 128,Lauren Park,Lakefront Mechanical,,Partner,19000,2026-04-18,2026-04-20,2026-05-19,2026-06-23,2026-09-05,6,2026-04-29,18473247,Kevin Brand,Partner,Qualification,MM,16600,C-Level,Plumbing Contractor,false,2026-04-28,2026-05-02,0,0%,0%,8.99,New Business,New Business,006DEMO00000000127,10,12,Net 30,Monthly
Cobalt Plumbing Group - CL 129,Lauren Park,Cobalt Plumbing Group,Mira Schultz,6s Intent Signals,48000,2025-08-31,2025-09-01,2025-09-23,2025-10-26,2026-01-29,17,2025-09-05,14564403,Kevin Brand,6s,Closed Lost,MM,36400,Director,Specialty Trades,false,2026-05-06,2026-05-12,13920,29%,29%,24.99,New Business,New Business,006DEMO00000000128,0,12,Net 30,Annual
Highline HVAC - NB 130,Vikram Patel,Highline HVAC,,Outbound,177000,2026-03-26,2026-03-30,2026-04-18,2026-05-15,2026-09-07,10,2026-04-06,166066833,Patrick Yu,AE - Self Set,Evaluation,ENT,154000,C-Level,Specialty Trades,true,2026-04-17,2026-05-08,0,0%,0%,9.27,New Business,New Business,006DEMO00000000129,50,12,Net 30,Quarterly
Summit Electric Inc - NB 131,Vikram Patel,Summit Electric Inc,Wes Kim,Outbound,185000,2026-03-30,2026-03-31,2026-04-15,2026-05-18,2026-06-27,29,2026-04-09,241603074,Patrick Yu,SDR Set - Outbound,Evaluation,ENT,168000,,Electrical Contractor,false,2026-05-09,2026-05-08,0,0%,0%,6.95,New Business,New Business,006DEMO00000000130,50,12,Net 30,Annual
Magnolia Builders - NB 132,Tomás Reyes,Magnolia Builders,,Inbound,77000,2026-03-05,2026-03-06,2026-03-29,2026-06-02,2026-06-06,44,2026-03-14,33331954,Kevin Brand,AE Set - Inbound,Evaluation,MM,61400,C-Level,Industrial Services,false,2026-04-15,2026-05-12,0,0%,0%,18.42,New Business,New Business,006DEMO00000000131,50,12,Net 30,Annual
Briarcliff Trades - CW 133,Vikram Patel,Briarcliff Trades,,Partner,146000,2025-07-17,2025-07-22,2025-08-18,2025-09-05,2025-12-19,18,2025-08-01,188581981,Patrick Yu,Partner,Closed Won,ENT,127300,,Sheet Metal Contractor,true,2026-04-20,2026-05-10,0,0%,0%,6.75,New Business,New Business,006DEMO00000000132,100,12,Net 30,Annual
Heritage Mechanical - NB 134,Harper Lin,Heritage Mechanical,Mira Schultz,Outbound,169000,2026-01-12,2026-01-16,2026-02-02,2026-03-21,2026-06-19,28,2026-01-23,231237700,Patrick Yu,SDR Set - Outbound,Qualification,ENT,151500,VP,General Contractor,false,2026-05-10,2026-05-03,0,0%,0%,6.55,New Business,New Business,006DEMO00000000133,10,12,Net 30,Semi-Annually
Brookline Trades - CL 135,Tomás Reyes,Brookline Trades,Avery Greene,Outbound,64000,2025-07-13,2025-07-15,2025-07-29,2025-09-11,2025-09-15,36,2025-07-26,61083946,Kevin Brand,SDR Set - Outbound,Closed Lost,MM,58100,Manager,General Contractor,false,2026-04-20,2026-05-02,24320,38%,38%,9.51,New Business,New Business,006DEMO00000000134,0,12,Net 30,Annual
Crescent HVAC Co - CL 136,Harper Lin,Crescent HVAC Co,,Partner,22000,2025-01-17,2025-01-18,2025-02-04,2025-03-23,2025-04-27,48,2025-01-22,107272039,Patrick Yu,Partner,Closed Lost,ENT,16900,C-Level,HVAC Contractor,true,2026-04-30,2026-05-08,0,0%,0%,1.58,New Business,New Business,006DEMO00000000135,0,12,Net 30,Annual
Crescent HVAC Co - NB 137,Lauren Park,Crescent HVAC Co,Mira Schultz,6s Intent Signals,39000,2026-01-19,2026-01-21,2026-02-15,2026-03-20,2026-08-25,31,2026-01-25,13520155,Kevin Brand,6s,Discovery,MM,33200,,Electrical Contractor,false,2026-04-17,2026-05-05,12870,33%,33%,24.56,New Business,New Business,006DEMO00000000136,25,12,Net 30,Annual
Northwall Builders - CL 138,Eddie Coleman,Northwall Builders,,Inbound,26000,2025-08-03,2025-08-05,2025-08-30,2025-10-19,2026-01-17,7,2025-08-13,65080646,Kevin Brand,AE Set - Inbound,Closed Lost,MM,21900,Director,Mechanical Contractor,false,2026-05-14,2026-05-09,0,0%,0%,3.37,New Business,New Business,006DEMO00000000137,0,12,Net 30,Monthly
